历史行情.指标排序沪深Ａ股 日期:2017-07-21,五 指标:MACD(12,26,9)   DMA(10,50,10)   BOLL(20)   BIAS(6,12,24)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  DIF	  DIFMA	  BOLL	  UB	  LB	  BIAS1	  BIAS2	  BIAS3	
000548	湖南投资	-2.08	8.01	13081691	105346176	0.143	0.077	0.132	0.358	0.156	7.562	8.164	6.959	1.736	3.589	6.504	
000550	江铃汽车	3.45	21.87	6391815	141557360	0.233	0.153	0.160	0.980	0.821	20.712	21.641	19.782	4.110	4.172	6.144	
000551	创元科技	0.23	8.68	4245060	36828656	-0.307	-0.240	-0.135	-0.563	-0.281	9.168	10.018	8.319	0.638	-2.908	-6.700	
000552	靖远煤电	0.25	3.97	45685952	182564384	0.114	0.080	0.068	0.274	0.197	3.685	3.997	3.373	2.983	5.328	8.854	
000553	沙隆达Ａ	-0.07	13.75	4091625	56257404	0.114	0.198	-0.168	0.793	0.951	13.854	14.954	12.754	0.967	-1.978	0.091	
000554	泰山石油	1.00	8.12	12084354	97997200	-0.175	-0.193	0.037	-0.456	-0.583	8.191	8.626	7.756	1.861	-0.460	-0.804	
000555	神州信息					-0.057	-0.138	0.163	-0.296	-0.566	16.587	17.136	16.038	-0.199	-0.020	1.269	
000557	西部创业					-0.212	-0.106	-0.211	-0.391	-0.008	6.443	7.682	5.204	1.597	-3.530	-9.840	
000558	莱茵体育	1.51	6.71	12923710	86637808	-0.284	-0.191	-0.186	-0.447	-0.059	7.266	8.210	6.321	1.080	-3.960	-9.125	
000559	万向钱潮	0.80	10.13	11312590	114069584	0.026	0.101	-0.150	0.270	0.602	10.353	10.964	9.742	1.182	-0.564	-1.443	
000560	昆百大Ａ	5.93	9.11	9657571	88107208	-0.063	-0.067	0.008	-0.047	-0.077	8.802	9.236	8.369	5.746	3.719	3.337	
000561	烽火电子	1.78	9.72	3894441	37532592	-0.165	-0.080	-0.171	-0.020	0.210	10.130	10.964	9.295	1.180	-3.203	-4.417	
000563	陕国投Ａ	-0.84	5.90	89746104	531194048	0.188	0.103	0.169	0.392	0.146	5.358	5.918	4.797	3.630	7.845	11.690	
000564	供销大集	-2.68	6.91	9063029	63717540	0.094	0.018	0.151	0.136	-0.084	6.611	7.110	6.112	-0.432	2.866	4.717	
000565	渝三峡Ａ	2.56	10.03	11058608	108746088	-0.016	0.015	-0.062	0.140	0.140	10.049	10.679	9.418	1.398	-0.158	0.271	
000566	海南海药	-0.67	13.33	2204879	29430966	0.040	0.033	0.014	0.114	0.036	13.234	13.546	12.922	0.226	0.106	0.791	
000567	海德股份	-0.73	27.38	3531259	96655296	0.654	0.603	0.103	2.196	1.914	26.784	27.922	25.646	-0.091	1.621	3.622	
000568	泸州老窖	0.06	51.38	6864323	354839072	0.455	0.314	0.282	0.865	1.005	49.602	52.302	46.902	3.349	4.374	3.496	
000570	苏常柴Ａ	-1.68	7.60	12389840	94321120	0.121	0.056	0.130	0.264	0.101	7.143	7.555	6.732	3.354	5.069	7.017	
000571	新大洲Ａ					0.035	-0.026	0.122	-0.046	-0.164	7.615	7.945	7.285	4.242	5.737	6.308	
000572	海马汽车	-0.21	4.86	6154438	29908524	-0.085	-0.052	-0.067	-0.123	-0.023	5.078	5.388	4.769	-0.376	-3.316	-4.503	
000573	粤宏远Ａ	0.64	6.32	7910052	49883008	-0.102	-0.100	-0.005	-0.162	-0.071	6.328	6.671	5.986	3.071	1.309	-0.603	
000576	广东甘化	-0.18	16.70	3364247	55923336	-0.074	-0.101	0.054	-0.337	-0.261	16.598	16.956	16.240	1.039	1.136	0.245	
000581	威孚高科	3.49	27.00	31084250	829775424	0.694	0.670	0.048	2.126	2.297	25.528	26.634	24.421	5.058	5.965	7.468	
000582	北部湾港	-1.95	12.08	14471636	177632288	0.030	-0.065	0.190	-0.040	-0.593	11.695	12.447	10.943	0.835	1.755	3.380	
000584	友利控股	-1.22	12.96	4670002	60763536	0.136	0.206	-0.140	0.631	0.875	13.074	13.394	12.754	0.026	-0.766	-0.801	
000585	东北电气	5.33	5.53	23485092	128343776	-0.164	-0.228	0.127	-0.647	-0.768	5.305	5.637	4.973	3.947	5.317	2.344	
000586	汇源通信	-0.91	21.70	1468279	32152228	0.793	0.764	0.058	2.189	1.883	20.893	23.015	18.771	-1.116	0.169	5.575	
000587	金洲慈航	-1.34	8.08	21520642	174571056	0.184	0.127	0.115	0.422	0.260	7.649	8.213	7.086	1.084	3.314	6.066	
000589	黔轮胎Ａ	5.31	5.75	31668840	179663680	0.011	0.019	-0.015	0.105	0.140	5.583	5.830	5.336	4.356	2.709	3.332	
000590	启迪古汉	1.10	16.48	1949627	32223856	-0.125	-0.203	0.156	-0.326	-0.429	16.025	16.478	15.573	2.711	3.258	1.857	
000591	太阳能	-2.23	5.26	13842792	73223392	-0.044	-0.045	0.002	-0.095	-0.123	5.333	5.655	5.011	-0.817	-2.892	-1.414	
000592	平潭发展	3.28	5.36	30696350	165665952	-0.065	-0.036	-0.060	-0.044	0.105	5.418	5.802	5.034	3.508	0.579	-1.599	
000593	大通燃气	-0.61	8.21	1927739	15867191	-0.143	-0.071	-0.144	-0.164	0.016	8.689	9.290	8.089	-1.104	-4.637	-5.515	
000595	*ST宝实	-0.21	4.76	11934520	57374412	0.037	0.039	-0.004	0.281	0.213	4.780	4.977	4.583	-0.070	-0.730	0.945	
000596	古井贡酒	1.73	48.83	3219278	157005328	-0.388	-0.289	-0.198	-0.592	0.133	49.113	52.057	46.170	2.002	1.453	-0.728	
000597	东北制药	0.36	11.11	8187381	90104072	0.060	0.132	-0.144	0.555	0.547	11.354	12.127	10.582	-0.951	-2.927	-1.427	
000598	兴蓉环境	0.00	5.70	18485440	105495200	0.016	0.024	-0.015	0.100	0.123	5.685	5.841	5.529	0.736	-0.058	0.559	
