历史行情.指标排序沪深Ａ股 日期:2017-07-19,三 指标:MACD(12,26,9)   WR(14,28)   CCI(14)   OBV(30)   
代码   	名称	 涨幅%%	 收盘	成交量	总金额	  DIF	  DEA	  MACD	  WR1	  WR2	  CCI	  OBV	  MAOBV	
600133	东湖高新	0.34	11.82	78263216	921562048	0.487	0.321	0.330	6.870	5.438	227.886	7116702.0	3479104.5	
600135	乐凯胶片					-0.232	-0.189	-0.086	78.610	68.116	-36.992	1436395.6	1296667.0	
600136	当代明诚													
600137	浪莎股份	-0.10	42.03	332150	13861999	-0.566	-0.737	0.341	28.287	61.864	82.144	-204048.9	-152900.0	
600138	中青旅	1.32	20.67	4670172	96457104	0.129	0.240	-0.222	57.962	54.167	-91.093	582730.7	514881.8	
600139	西部资源	6.01	9.17	32456764	295322880	0.037	-0.025	0.123	43.575	28.996	34.455	-795243.3	-1495996.1	
600141	兴发集团	8.23	13.54	26774510	353599520	0.204	0.167	0.073	8.228	5.991	214.835	789348.5	260420.3	
600143	金发科技	1.07	5.65	10940201	61150088	-0.052	-0.018	-0.068	70.175	74.242	-115.236	-1916934.0	-1783357.3	
600145	*ST新亿													
600146	商赢环球													
600148	长春一东	4.96	32.19	18032816	570096576	1.673	1.457	0.430	10.138	9.081	90.832	1137904.4	444052.0	
600149	*ST坊展	0.87	10.44	7987001	82603848	-0.603	-0.450	-0.306	88.608	91.615	-160.394	-1970103.9	-1534557.9	
600150	中国船舶	3.85	22.65	17706074	397601088	-0.133	-0.028	-0.209	51.172	51.172	-87.412	1173145.0	932758.6	
600151	航天机电	1.48	7.54	11617049	85675000	-0.105	-0.014	-0.182	77.444	77.397	-170.494	-746484.8	-793744.8	
600152	维科精华	0.76	9.24	4655701	42700080	0.012	0.086	-0.148	66.013	66.013	-104.836	663373.1	290056.5	
600153	建发股份	1.66	12.27	35250992	441802816	0.171	0.247	-0.153	55.151	46.429	-64.670	3500475.5	2377496.5	
600155	宝硕股份	3.46	13.16	18529774	240832480	-0.721	-0.544	-0.355	76.364	87.103	-126.920	1133105.3	1117455.9	
600156	华升股份	1.20	6.73	1649910	11001587	-0.174	-0.070	-0.209	73.846	86.667	-104.388	-112846.9	33089.72	
